starId,movieId
nm9430484,AKo15
nm9426027,AKo15
nm9425967,AKo15
nm9430485,AKo15
nm9430486,AKo15
nm9430487,AKo15
nm9430488,AKo15
nm9430489,AkS10
nm9430490,AkS10
nm9430491,AkS10
nm9430492,AkS10
nm9430493,AKu10
nm9423174,AKu10
nm9423758,AL8
nm9424531,AL8
nm9424245,AL10
nm9423758,AL10
nm9428224,AL10
nm9426832,AL10
nm9424335,AL10
nm9426149,AL10
nm9430494,AL10
nm9428434,AL11
nm9430495,AL11
nm9430496,AL11
nm9426157,AL11
nm9424418,AL11
nm9427852,AL11
nm9427797,AL11
nm9426757,AL11
nm9423758,AL12
nm9424549,AL12
nm9427787,AL12
nm9429653,AL12
nm9430497,AL12
nm9429686,AL12
nm9424508,AL12
nm9424539,AL12
nm9425652,AL12
nm9424378,AL12
nm9430498,AL12
nm9426835,AL12
nm9425276,AL13
nm9427730,AL13
nm9428787,AL13
nm9427267,AL13
nm9424385,AL13
nm9427797,AL13
nm9430499,AL13
nm9426757,AL13
nm9428434,AL14
nm9426861,AL14
nm9428593,AL14
nm9429010,AL14
nm9430500,AL14
nm9423954,AL16
nm9428787,AL16
nm9424402,AL16
nm9424418,AL16
nm9426356,AL16
nm9427195,AL16
nm9429293,AL16
nm9428172,AL16
nm9425117,AL20
nm9430501,AL21
nm9426546,AL21
nm9428343,AL21
nm9424364,AL21
nm9423523,AL21
nm9430502,AL21
nm9424938,AL21
nm9424309,AL21
nm9424611,AL22
nm9430503,AL22
nm9430504,AL22
nm9425929,AL22
nm9426578,AL22
nm9424938,AL22
nm9423708,AL22
nm9427917,AL22
nm9428633,AL22
nm9423590,AL26
nm9423882,AL26
nm9425777,AL26
nm9426039,AL26
nm9429174,AL26
nm9423350,AL26
nm9424664,AL26
nm9428633,AL26
nm9423882,AL27
nm9426373,AL27
nm9428399,AL27
nm9430505,AL27
nm9427470,AL27
nm9427034,AL27
nm9430506,AL27
nm9430507,AL27
nm9427574,AlA10
nm9424124,AlA10
nm9430508,AlA10
nm9424058,AlA10
nm9430509,AlA10
nm9424058,AlA10
nm9430510,AlA10
nm9430511,AlA10
nm9424896,AlA10
nm9429172,AlA10
nm9424554,AlA10
nm9424459,AlA50
nm9424058,AlA50
nm9423639,AlA50
nm9426549,AlA50
nm9425188,AlA50
nm9430512,AlB10
nm9427576,AlB10
nm9427908,AlB10
nm9425046,AlB10
nm9424675,AlC10
nm9430513,AlC10
nm9430514,AlC10
nm9426992,AlC14
nm9424648,AlC20
nm9430515,AlC20
nm9430516,AlC20
nm9430517,AlC20
nm9430518,AlC20
nm9430519,AlC20
nm9430520,AlD10
nm9428593,ALe1
nm9427035,ALe1
nm9425336,ALe1
